period,duoarea,area-name,product,product-name,process,process-name,series,series-description,value,units
2024-01-01,R30,PADD 3,EPD2DXL0,No 2 Diesel Low Sulfur (0-15 ppm),PTE,Retail Sales,EMD_EPD2DXL0_PTE_R30_DPG,Gulf Coast No 2 Diesel Ultra Low Sulfur (0-15 ppm) Retail Prices (Dollars per Gallon),3.565,$/GAL
2024-01-01,R1Z,PADD 1C,EPD2D,No 2 Diesel,PTE,Retail Sales,EMD_EPD2D_PTE_R1Z_DPG,Lower Atlantic (PADD 1C) No 2 Diesel Retail Prices (Dollars per Gallon),3.858,$/GAL
2024-01-01,SCA,CALIFORNIA,EPD2D,No 2 Diesel,PTE,Retail Sales,EMD_EPD2D_PTE_SCA_DPG,California No 2 Diesel Retail Prices (Dollars per Gallon),5.184,$/GAL
2024-01-01,R20,PADD 2,EPD2D,No 2 Diesel,PTE,Retail Sales,EMD_EPD2D_PTE_R20_DPG,Midwest No 2 Diesel Retail Prices (Dollars per Gallon),3.75,$/GAL
2024-01-01,YMIA,MIAMI,EPMRU,Conventional Regular Gasoline,PTE,Retail Sales,EMM_EPMRU_PTE_YMIA_DPG,"Miami, FL Regular Conventional Retail Gasoline Prices (Dollars per Gallon)",3.116,$/GAL
2024-01-01,YDEN,DENVER,EPMRU,Conventional Regular Gasoline,PTE,Retail Sales,EMM_EPMRU_PTE_YDEN_DPG,"Denver, CO Regular Conventional Retail Gasoline Prices (Dollars per Gallon)",,$/GAL
2024-01-01,SNY,NEW YORK,EPMRU,Conventional Regular Gasoline,PTE,Retail Sales,EMM_EPMRU_PTE_SNY_DPG,New York Regular Conventional Retail Gasoline Prices (Dollars per Gallon),3.337,$/GAL
2024-01-01,R50,PADD 5,EPMRR,Reformulated Regular Gasoline,PTE,Retail Sales,EMM_EPMRR_PTE_R50_DPG,West Coast Regular Reformulated Retail Gasoline Prices (Dollars per Gallon),4.317,$/GAL
2024-01-01,R1X,PADD 1A,EPMRR,Reformulated Regular Gasoline,PTE,Retail Sales,EMM_EPMRR_PTE_R1X_DPG,New England (PADD 1A) Regular Reformulated Retail Gasoline Prices (Dollars per Gallon),3.126,$/GAL
2024-01-01,Y05SF,SAN FRANCISCO,EPMRR,Reformulated Regular Gasoline,PTE,Retail Sales,EMM_EPMRR_PTE_Y05SF_DPG,"San Francisco, CA Regular Reformulated Retail Gasoline Prices (Dollars per Gallon)",4.602,$/GAL
2024-01-01,R40,PADD 4,EPMR,Regular Gasoline,PTE,Retail Sales,EMM_EPMR_PTE_R40_DPG,Rocky Mountain Regular All Formulations Retail Gasoline Prices (Dollars per Gallon),2.786,$/GAL
2024-01-01,SWA,WASHINGTON,EPMR,Regular Gasoline,PTE,Retail Sales,EMM_EPMR_PTE_SWA_DPG,Washington Regular All Formulations Retail Gasoline Prices (Dollars per Gallon),3.987,$/GAL
2024-01-01,R10,PADD 1,EPMR,Regular Gasoline,PTE,Retail Sales,EMM_EPMR_PTE_R10_DPG,East Coast Regular All Formulations Retail Gasoline Prices (Dollars per Gallon),3.087,$/GAL
2024-01-01,SFL,FLORIDA,EPMR,Regular Gasoline,PTE,Retail Sales,EMM_EPMR_PTE_SFL_DPG,Florida Regular All Formulations Retail Gasoline Prices (Dollars per Gallon),3.029,$/GAL
2024-01-01,Y44HO,HOUSTON,EPMR,Regular Gasoline,PTE,Retail Sales,EMM_EPMR_PTE_Y44HO_DPG,Houston Regular All Formulations Retail Gasoline Prices (Dollars per Gallon),2.563,$/GAL
2024-01-01,Y48SE,SEATTLE,EPMPU,Conventional Premium Gasoline,PTE,Retail Sales,EMM_EPMPU_PTE_Y48SE_DPG,"Seattle, WA Premium Conventional Retail Gasoline Prices (Dollars per Gallon)",4.685,$/GAL
2024-01-01,R1Y,PADD 1B,EPMPR,Reformulated Premium Gasoline,PTE,Retail Sales,EMM_EPMPR_PTE_R1Y_DPG,Central Atlantic (PADD 1B) Premium Reformulated Retail Gasoline Prices (Dollars per Gallon),4.031,$/GAL
2024-01-01,R40,PADD 4,EPMPR,Reformulated Premium Gasoline,PTE,Retail Sales,EMM_EPMPR_PTE_R40_DPG,Rocky Mountain Premium Reformulated Retail Gasoline Prices (Dollars per Gallon),3.333,$/GAL
2024-01-01,Y35NY,NEW YORK CITY,EPMPR,Reformulated Premium Gasoline,PTE,Retail Sales,EMM_EPMPR_PTE_Y35NY_DPG,New York Harbor Premium Reformulated Retail Gasoline Prices (Dollars per Gallon),4.053,$/GAL
2024-01-01,R1Z,PADD 1C,EPMP,Premium Gasoline,PTE,Retail Sales,EMM_EPMP_PTE_R1Z_DPG,Lower Atlantic (PADD 1C) Premium All Formulations Retail Gasoline Prices (Dollars per Gallon),3.767,$/GAL
2024-01-01,R50,PADD 5,EPMP,Premium Gasoline,PTE,Retail Sales,EMM_EPMP_PTE_R50_DPG,West Coast Premium All Formulations Retail Gasoline Prices (Dollars per Gallon),4.724,$/GAL
2024-01-01,R1X,PADD 1A,EPMP,Premium Gasoline,PTE,Retail Sales,EMM_EPMP_PTE_R1X_DPG,New England (PADD 1A) Premium All Formulations Retail Gasoline Prices (Dollars per Gallon),4.054,$/GAL
2024-01-01,STX,TEXAS,EPMP,Premium Gasoline,PTE,Retail Sales,EMM_EPMP_PTE_STX_DPG,Texas Premium All Formulations Retail Gasoline Prices (Dollars per Gallon),3.365,$/GAL
2024-01-01,NUS,U.S.,EPMP,Premium Gasoline,PTE,Retail Sales,EMM_EPMP_PTE_NUS_DPG,U.S. Premium All Formulations Retail Gasoline Prices (Dollars per Gallon),4,$/GAL
2024-01-01,R5XCA,PADD 5 EXCEPT CALIFORNIA,EPMMU,Gasoline Conventional Midgrade,PTE,Retail Sales,EMM_EPMMU_PTE_R5XCA_DPG,West Coast (PADD 5) Except California Midgrade Conventional Retail Gasoline Prices (Dollars per Gallon),4.171,$/GAL
2024-01-01,R1Z,PADD 1C,EPMMU,Gasoline Conventional Midgrade,PTE,Retail Sales,EMM_EPMMU_PTE_R1Z_DPG,Lower Atlantic (PADD 1C) Midgrade Conventional Retail Gasoline Prices (Dollars per Gallon),3.42,$/GAL
2024-01-01,SFL,FLORIDA,EPMMU,Gasoline Conventional Midgrade,PTE,Retail Sales,EMM_EPMMU_PTE_SFL_DPG,Florida Midgrade Conventional Retail Gasoline Prices (Dollars per Gallon),3.458,$/GAL
2024-01-01,SNY,NEW YORK,EPMMU,Gasoline Conventional Midgrade,PTE,Retail Sales,EMM_EPMMU_PTE_SNY_DPG,New York Midgrade Conventional Retail Gasoline Prices (Dollars per Gallon),3.8,$/GAL
2024-01-01,SMN,MINNESOTA,EPMMU,Gasoline Conventional Midgrade,PTE,Retail Sales,EMM_EPMMU_PTE_SMN_DPG,Minnesota Midgrade Conventional Retail Gasoline Prices (Dollars per Gallon),3.142,$/GAL
2024-01-01,Y05LA,LOS ANGELES,EPMMR,Gasoline Reformulated Midgrade,PTE,Retail Sales,EMM_EPMMR_PTE_Y05LA_DPG,"Los Angeles, CA Midgrade Reformulated Retail Gasoline Prices (Dollars per Gallon)",4.834,$/GAL
2024-01-01,SNY,NEW YORK,EPMMR,Gasoline Reformulated Midgrade,PTE,Retail Sales,EMM_EPMMR_PTE_SNY_DPG,New York Midgrade Reformulated Retail Gasoline Prices (Dollars per Gallon),3.651,$/GAL
2024-01-01,SMA,MASSACHUSETTS,EPMMR,Gasoline Reformulated Midgrade,PTE,Retail Sales,EMM_EPMMR_PTE_SMA_DPG,Massachusetts Midgrade Reformulated Retail Gasoline Prices (Dollars per Gallon),3.755,$/GAL
2024-01-01,R10,PADD 1,EPMM,Midgrade Gasoline,PTE,Retail Sales,EMM_EPMM_PTE_R10_DPG,East Coast Midgrade All Formulations Retail Gasoline Prices (Dollars per Gallon),3.566,$/GAL
2024-01-01,YBOS,BOSTON,EPMM,Midgrade Gasoline,PTE,Retail Sales,EMM_EPMM_PTE_YBOS_DPG,"Boston, MA Midgrade All Formulations Retail Gasoline Prices (Dollars per Gallon)",3.761,$/GAL
2024-01-01,R50,PADD 5,EPM0U,Conventional Gasoline (No Oxy),PTE,Retail Sales,EMM_EPM0U_PTE_R50_DPG,West Coast All Grades Conventional Retail Gasoline Prices (Dollars per Gallon),3.892,$/GAL
2024-01-01,SMN,MINNESOTA,EPM0U,Conventional Gasoline (No Oxy),PTE,Retail Sales,EMM_EPM0U_PTE_SMN_DPG,Minnesota All Grades Conventional Retail Gasoline Prices (Dollars per Gallon),2.898,$/GAL
2024-01-01,R10,PADD 1,EPM0R,Reformulated Motor Gasoline,PTE,Retail Sales,EMM_EPM0R_PTE_R10_DPG,East Coast All Grades Reformulated Retail Gasoline Prices (Dollars per Gallon),3.275,$/GAL
2024-01-01,Y05SF,SAN FRANCISCO,EPM0R,Reformulated Motor Gasoline,PTE,Retail Sales,EMM_EPM0R_PTE_Y05SF_DPG,"San Francisco, CA All Grades Reformulated Retail Gasoline Prices (Dollars per Gallon)",4.741,$/GAL
2024-01-01,YBOS,BOSTON,EPM0R,Reformulated Motor Gasoline,PTE,Retail Sales,EMM_EPM0R_PTE_YBOS_DPG,"Boston, MA All Grades Reformulated Retail Gasoline Prices (Dollars per Gallon)",3.362,$/GAL
2024-01-01,Y48SE,SEATTLE,EPM0,Total Gasoline,PTE,Retail Sales,EMM_EPM0_PTE_Y48SE_DPG,"Seattle, WA All Grades All Formulations Retail Gasoline Prices (Dollars per Gallon)",4.33,$/GAL
2024-01-01,YORD,CHICAGO,EPM0,Total Gasoline,PTE,Retail Sales,EMM_EPM0_PTE_YORD_DPG,Chicago All Grades All Formulations Retail Gasoline Prices (Dollars per Gallon),3.14,$/GAL
2024-01-01,STX,TEXAS,EPM0,Total Gasoline,PTE,Retail Sales,EMM_EPM0_PTE_STX_DPG,Texas All Grades All Formulations Retail Gasoline Prices (Dollars per Gallon),2.7,$/GAL
2024-01-01,R1Z,PADD 1C,EPMRU,Conventional Regular Gasoline,PTE,Retail Sales,EMM_EPMRU_PTE_R1Z_DPG,Lower Atlantic (PADD 1C) Regular Conventional Retail Gasoline Prices (Dollars per Gallon),2.972,$/GAL
2024-01-01,SFL,FLORIDA,EPMRU,Conventional Regular Gasoline,PTE,Retail Sales,EMM_EPMRU_PTE_SFL_DPG,Florida Regular Conventional Retail Gasoline Prices (Dollars per Gallon),3.029,$/GAL
2024-01-01,Y05LA,LOS ANGELES,EPMRR,Reformulated Regular Gasoline,PTE,Retail Sales,EMM_EPMRR_PTE_Y05LA_DPG,"Los Angeles, CA Regular Reformulated Retail Gasoline Prices (Dollars per Gallon)",4.465,$/GAL
2024-01-01,R1Z,PADD 1C,EPMR,Regular Gasoline,PTE,Retail Sales,EMM_EPMR_PTE_R1Z_DPG,Lower Atlantic (PADD 1C) Regular All Formulations Retail Gasoline Prices (Dollars per Gallon),2.973,$/GAL
2024-01-01,SCO,COLORADO,EPMR,Regular Gasoline,PTE,Retail Sales,EMM_EPMR_PTE_SCO_DPG,Colorado Regular All Formulations Retail Gasoline Prices (Dollars per Gallon),2.611,$/GAL
2024-01-01,YMIA,MIAMI,EPMR,Regular Gasoline,PTE,Retail Sales,EMM_EPMR_PTE_YMIA_DPG,"Miami, FL Regular All Formulations Retail Gasoline Prices (Dollars per Gallon)",3.116,$/GAL
2024-01-01,R1Y,PADD 1B,EPMR,Regular Gasoline,PTE,Retail Sales,EMM_EPMR_PTE_R1Y_DPG,Central Atlantic (PADD 1B) Regular All Formulations Retail Gasoline Prices (Dollars per Gallon),3.25,$/GAL
2024-01-01,YORD,CHICAGO,EPMR,Regular Gasoline,PTE,Retail Sales,EMM_EPMR_PTE_YORD_DPG,Chicago Regular All Formulations Retail Gasoline Prices (Dollars per Gallon),2.981,$/GAL
2024-01-01,YBOS,BOSTON,EPMR,Regular Gasoline,PTE,Retail Sales,EMM_EPMR_PTE_YBOS_DPG,"Boston, MA Regular All Formulations Retail Gasoline Prices (Dollars per Gallon)",3.194,$/GAL
2024-01-01,R30,PADD 3,EPMPR,Reformulated Premium Gasoline,PTE,Retail Sales,EMM_EPMPR_PTE_R30_DPG,Gulf Coast Premium Reformulated Retail Gasoline Prices (Dollars per Gallon),3.347,$/GAL
2024-01-01,Y48SE,SEATTLE,EPMP,Premium Gasoline,PTE,Retail Sales,EMM_EPMP_PTE_Y48SE_DPG,"Seattle, WA Premium All Formulations Retail Gasoline Prices (Dollars per Gallon)",4.685,$/GAL
2024-01-01,SOH,OHIO,EPMP,Premium Gasoline,PTE,Retail Sales,EMM_EPMP_PTE_SOH_DPG,Ohio Premium All Formulations Retail Gasoline Prices (Dollars per Gallon),3.753,$/GAL
2024-01-01,Y05SF,SAN FRANCISCO,EPMP,Premium Gasoline,PTE,Retail Sales,EMM_EPMP_PTE_Y05SF_DPG,San Francisco Premium All Formulations Retail Gasoline Prices (Dollars per Gallon),5.076,$/GAL
2024-01-01,R40,PADD 4,EPMMU,Gasoline Conventional Midgrade,PTE,Retail Sales,EMM_EPMMU_PTE_R40_DPG,Rocky Mountain Midgrade Conventional Retail Gasoline Prices (Dollars per Gallon),3.079,$/GAL
2024-01-01,R1X,PADD 1A,EPMMU,Gasoline Conventional Midgrade,PTE,Retail Sales,EMM_EPMMU_PTE_R1X_DPG,New England (PADD 1A) Midgrade Conventional Retail Gasoline Prices (Dollars per Gallon),3.672,$/GAL
2024-01-01,SCO,COLORADO,EPMMR,Gasoline Reformulated Midgrade,PTE,Retail Sales,EMM_EPMMR_PTE_SCO_DPG,Colorado Midgrade Reformulated Retail Gasoline Prices (Dollars per Gallon),2.977,$/GAL
2024-01-01,R10,PADD 1,EPMMR,Gasoline Reformulated Midgrade,PTE,Retail Sales,EMM_EPMMR_PTE_R10_DPG,East Coast Midgrade Reformulated Retail Gasoline Prices (Dollars per Gallon),3.694,$/GAL
2024-01-01,Y05LA,LOS ANGELES,EPMM,Midgrade Gasoline,PTE,Retail Sales,EMM_EPMM_PTE_Y05LA_DPG,Los Angeles Midgrade All Formulations Retail Gasoline Prices (Dollars per Gallon),4.834,$/GAL
2024-01-01,R40,PADD 4,EPMM,Midgrade Gasoline,PTE,Retail Sales,EMM_EPMM_PTE_R40_DPG,Rocky Mountain Midgrade All Formulations Retail Gasoline Prices (Dollars per Gallon),3.058,$/GAL
2024-01-01,Y35NY,NEW YORK CITY,EPMM,Midgrade Gasoline,PTE,Retail Sales,EMM_EPMM_PTE_Y35NY_DPG,New York City Midgrade All Formulations Retail Gasoline Prices (Dollars per Gallon),3.711,$/GAL
2024-01-01,SFL,FLORIDA,EPMM,Midgrade Gasoline,PTE,Retail Sales,EMM_EPMM_PTE_SFL_DPG,Florida Midgrade All Formulations Retail Gasoline Prices (Dollars per Gallon),3.458,$/GAL
2024-01-01,SMA,MASSACHUSETTS,EPMM,Midgrade Gasoline,PTE,Retail Sales,EMM_EPMM_PTE_SMA_DPG,Massachusetts Midgrade All Formulations Retail Gasoline Prices (Dollars per Gallon),3.755,$/GAL
2024-01-01,YCLE,CLEVELAND,EPM0U,Conventional Gasoline (No Oxy),PTE,Retail Sales,EMM_EPM0U_PTE_YCLE_DPG,"Cleveland, OH All Grades Conventional Retail Gasoline Prices (Dollars per Gallon)",2.806,$/GAL
2024-01-01,YMIA,MIAMI,EPM0U,Conventional Gasoline (No Oxy),PTE,Retail Sales,EMM_EPM0U_PTE_YMIA_DPG,"Miami, FL All Grades Conventional Retail Gasoline Prices (Dollars per Gallon)",3.252,$/GAL
2024-01-01,SNY,NEW YORK,EPM0U,Conventional Gasoline (No Oxy),PTE,Retail Sales,EMM_EPM0U_PTE_SNY_DPG,New York All Grades Conventional Retail Gasoline Prices (Dollars per Gallon),3.412,$/GAL
2024-01-01,R20,PADD 2,EPM0U,Conventional Gasoline (No Oxy),PTE,Retail Sales,EMM_EPM0U_PTE_R20_DPG,Midwest All Grades Conventional Retail Gasoline Prices (Dollars per Gallon),2.841,$/GAL
2024-01-01,Y05LA,LOS ANGELES,EPM0R,Reformulated Motor Gasoline,PTE,Retail Sales,EMM_EPM0R_PTE_Y05LA_DPG,"Los Angeles, CA All Grades Reformulated Retail Gasoline Prices (Dollars per Gallon)",4.579,$/GAL
2024-01-01,SMA,MASSACHUSETTS,EPM0R,Reformulated Motor Gasoline,PTE,Retail Sales,EMM_EPM0R_PTE_SMA_DPG,Massachusetts All Grades Reformulated Retail Gasoline Prices (Dollars per Gallon),3.312,$/GAL
2024-01-01,STX,TEXAS,EPM0R,Reformulated Motor Gasoline,PTE,Retail Sales,EMM_EPM0R_PTE_STX_DPG,Texas All Grades Reformulated Retail Gasoline Prices (Dollars per Gallon),2.691,$/GAL
2024-01-01,SWA,WASHINGTON,EPM0,Total Gasoline,PTE,Retail Sales,EMM_EPM0_PTE_SWA_DPG,Washington All Grades All Formulations Retail Gasoline Prices (Dollars per Gallon),4.082,$/GAL
2024-01-01,SCA,CALIFORNIA,EPM0,Total Gasoline,PTE,Retail Sales,EMM_EPM0_PTE_SCA_DPG,California All Grades All Formulations Retail Gasoline Prices (Dollars per Gallon),4.595,$/GAL
2024-01-01,YDEN,DENVER,EPM0,Total Gasoline,PTE,Retail Sales,EMM_EPM0_PTE_YDEN_DPG,Denver All Grades All Formulations Retail Gasoline Prices (Dollars per Gallon),2.714,$/GAL
2024-01-01,YBOS,BOSTON,EPM0,Total Gasoline,PTE,Retail Sales,EMM_EPM0_PTE_YBOS_DPG,"Boston, MA All Grades All Formulations Retail Gasoline Prices (Dollars per Gallon)",3.362,$/GAL
2024-01-01,R1Z,PADD 1C,EPD2DXL0,No 2 Diesel Low Sulfur (0-15 ppm),PTE,Retail Sales,EMD_EPD2DXL0_PTE_R1Z_DPG,Lower Atlantic (PADD 1C) No 2 Diesel Ultra Low Sulfur (0-15 ppm) Retail Prices (Dollars per Gallon),3.858,$/GAL
2024-01-01,R1Y,PADD 1B,EPD2DXL0,No 2 Diesel Low Sulfur (0-15 ppm),PTE,Retail Sales,EMD_EPD2DXL0_PTE_R1Y_DPG,Central Atlantic (PADD 1B) No 2 Diesel Ultra Low Sulfur (0-15 ppm) Retail Prices (Dollars per Gallon),4.304,$/GAL
2024-01-01,R10,PADD 1,EPD2DXL0,No 2 Diesel Low Sulfur (0-15 ppm),PTE,Retail Sales,EMD_EPD2DXL0_PTE_R10_DPG,East Coast No 2 Diesel Ultra Low Sulfur (0-15 ppm) Retail Prices (Dollars per Gallon),4.002,$/GAL
2024-01-01,R1X,PADD 1A,EPD2DXL0,No 2 Diesel Low Sulfur (0-15 ppm),PTE,Retail Sales,EMD_EPD2DXL0_PTE_R1X_DPG,New England (PADD 1A) No 2 Diesel Ultra Low Sulfur (0-15 ppm) Retail Prices (Dollars per Gallon),4.334,$/GAL
2024-01-01,R1X,PADD 1A,EPD2D,No 2 Diesel,PTE,Retail Sales,EMD_EPD2D_PTE_R1X_DPG,New England (PADD 1A) No 2 Diesel Retail Prices (Dollars per Gallon),4.334,$/GAL
2024-01-01,R30,PADD 3,EPMRU,Conventional Regular Gasoline,PTE,Retail Sales,EMM_EPMRU_PTE_R30_DPG,Gulf Coast Regular Conventional Retail Gasoline Prices (Dollars per Gallon),2.687,$/GAL
2024-01-01,R40,PADD 4,EPMRU,Conventional Regular Gasoline,PTE,Retail Sales,EMM_EPMRU_PTE_R40_DPG,Rocky Mountain Regular Conventional Retail Gasoline Prices (Dollars per Gallon),2.853,$/GAL
2024-01-01,R1X,PADD 1A,EPMRU,Conventional Regular Gasoline,PTE,Retail Sales,EMM_EPMRU_PTE_R1X_DPG,New England (PADD 1A) Regular Conventional Retail Gasoline Prices (Dollars per Gallon),3.147,$/GAL
2024-01-01,SMN,MINNESOTA,EPMRU,Conventional Regular Gasoline,PTE,Retail Sales,EMM_EPMRU_PTE_SMN_DPG,Minnesota Regular Conventional Retail Gasoline Prices (Dollars per Gallon),2.849,$/GAL
2024-01-01,YDEN,DENVER,EPMRR,Reformulated Regular Gasoline,PTE,Retail Sales,EMM_EPMRR_PTE_YDEN_DPG,"Denver, CO Regular Reformulated Retail Gasoline Prices (Dollars per Gallon)",2.524,$/GAL
2024-01-01,SMA,MASSACHUSETTS,EPMRR,Reformulated Regular Gasoline,PTE,Retail Sales,EMM_EPMRR_PTE_SMA_DPG,Massachusetts Regular Reformulated Retail Gasoline Prices (Dollars per Gallon),3.151,$/GAL
2024-01-01,STX,TEXAS,EPMRR,Reformulated Regular Gasoline,PTE,Retail Sales,EMM_EPMRR_PTE_STX_DPG,Texas Regular Reformulated Retail Gasoline Prices (Dollars per Gallon),2.583,$/GAL
2024-01-01,NUS,U.S.,EPMRR,Reformulated Regular Gasoline,PTE,Retail Sales,EMM_EPMRR_PTE_NUS_DPG,U.S. Regular Reformulated Retail Gasoline Prices (Dollars per Gallon),3.354,$/GAL
2024-01-01,R5XCA,PADD 5 EXCEPT CALIFORNIA,EPMR,Regular Gasoline,PTE,Retail Sales,EMM_EPMR_PTE_R5XCA_DPG,West Coast (PADD 5) Except California Regular All Formulations Retail Gasoline Prices (Dollars per Gallon),3.718,$/GAL
2024-01-01,Y35NY,NEW YORK CITY,EPMR,Regular Gasoline,PTE,Retail Sales,EMM_EPMR_PTE_Y35NY_DPG,New York City Regular All Formulations Retail Gasoline Prices (Dollars per Gallon),3.107,$/GAL
2024-01-01,R1X,PADD 1A,EPMR,Regular Gasoline,PTE,Retail Sales,EMM_EPMR_PTE_R1X_DPG,New England (PADD 1A) Regular All Formulations Retail Gasoline Prices (Dollars per Gallon),3.13,$/GAL
2024-01-01,Y05SF,SAN FRANCISCO,EPMR,Regular Gasoline,PTE,Retail Sales,EMM_EPMR_PTE_Y05SF_DPG,San Francisco Regular All Formulations Retail Gasoline Prices (Dollars per Gallon),4.602,$/GAL
2024-01-01,STX,TEXAS,EPMR,Regular Gasoline,PTE,Retail Sales,EMM_EPMR_PTE_STX_DPG,Texas Regular All Formulations Retail Gasoline Prices (Dollars per Gallon),2.605,$/GAL
2024-01-01,YCLE,CLEVELAND,EPMPU,Conventional Premium Gasoline,PTE,Retail Sales,EMM_EPMPU_PTE_YCLE_DPG,"Cleveland, OH Premium Conventional Retail Gasoline Prices (Dollars per Gallon)",3.709,$/GAL
2024-01-01,R10,PADD 1,EPMPU,Conventional Premium Gasoline,PTE,Retail Sales,EMM_EPMPU_PTE_R10_DPG,East Coast Premium Conventional Retail Gasoline Prices (Dollars per Gallon),3.844,$/GAL
2024-01-01,YDEN,DENVER,EPMPU,Conventional Premium Gasoline,PTE,Retail Sales,EMM_EPMPU_PTE_YDEN_DPG,"Denver, CO Premium Conventional Retail Gasoline Prices (Dollars per Gallon)",,$/GAL
2024-01-01,NUS,U.S.,EPMPU,Conventional Premium Gasoline,PTE,Retail Sales,EMM_EPMPU_PTE_NUS_DPG,U.S. Premium Conventional Retail Gasoline Prices (Dollars per Gallon),3.784,$/GAL
2024-01-01,SMN,MINNESOTA,EPMPU,Conventional Premium Gasoline,PTE,Retail Sales,EMM_EPMPU_PTE_SMN_DPG,Minnesota Premium Conventional Retail Gasoline Prices (Dollars per Gallon),3.457,$/GAL
2024-01-01,SCO,COLORADO,EPMPR,Reformulated Premium Gasoline,PTE,Retail Sales,EMM_EPMPR_PTE_SCO_DPG,Colorado Premium Reformulated Retail Gasoline Prices (Dollars per Gallon),3.333,$/GAL
2024-01-01,YCLE,CLEVELAND,EPMP,Premium Gasoline,PTE,Retail Sales,EMM_EPMP_PTE_YCLE_DPG,"Cleveland, OH Premium All Formulations Retail Gasoline Prices (Dollars per Gallon)",3.709,$/GAL
2024-01-01,Y05LA,LOS ANGELES,EPMP,Premium Gasoline,PTE,Retail Sales,EMM_EPMP_PTE_Y05LA_DPG,Los Angeles Premium All Formulations Retail Gasoline Prices (Dollars per Gallon),4.875,$/GAL
2024-01-01,R40,PADD 4,EPMP,Premium Gasoline,PTE,Retail Sales,EMM_EPMP_PTE_R40_DPG,Rocky Mountain Premium All Formulations Retail Gasoline Prices (Dollars per Gallon),3.378,$/GAL
2024-01-01,SCA,CALIFORNIA,EPMP,Premium Gasoline,PTE,Retail Sales,EMM_EPMP_PTE_SCA_DPG,California Premium All Formulations Retail Gasoline Prices (Dollars per Gallon),4.936,$/GAL
2024-01-01,R20,PADD 2,EPMP,Premium Gasoline,PTE,Retail Sales,EMM_EPMP_PTE_R20_DPG,Midwest Premium All Formulations Retail Gasoline Prices (Dollars per Gallon),3.663,$/GAL
2024-01-01,R1Y,PADD 1B,EPMMU,Gasoline Conventional Midgrade,PTE,Retail Sales,EMM_EPMMU_PTE_R1Y_DPG,Central Atlantic (PADD 1B) Midgrade Conventional Retail Gasoline Prices (Dollars per Gallon),3.782,$/GAL
2024-01-01,R50,PADD 5,EPMMR,Gasoline Reformulated Midgrade,PTE,Retail Sales,EMM_EPMMR_PTE_R50_DPG,West Coast Midgrade Reformulated Retail Gasoline Prices (Dollars per Gallon),4.726,$/GAL
2024-01-01,Y48SE,SEATTLE,EPMM,Midgrade Gasoline,PTE,Retail Sales,EMM_EPMM_PTE_Y48SE_DPG,"Seattle, WA Midgrade All Formulations Retail Gasoline Prices (Dollars per Gallon)",4.716,$/GAL
2024-01-01,R1X,PADD 1A,EPMM,Midgrade Gasoline,PTE,Retail Sales,EMM_EPMM_PTE_R1X_DPG,New England (PADD 1A) Midgrade All Formulations Retail Gasoline Prices (Dollars per Gallon),3.723,$/GAL
2024-01-01,SMN,MINNESOTA,EPMM,Midgrade Gasoline,PTE,Retail Sales,EMM_EPMM_PTE_SMN_DPG,Minnesota Midgrade All Formulations Retail Gasoline Prices (Dollars per Gallon),3.142,$/GAL
2024-01-01,R20,PADD 2,EPMM,Midgrade Gasoline,PTE,Retail Sales,EMM_EPMM_PTE_R20_DPG,Midwest Midgrade All Formulations Retail Gasoline Prices (Dollars per Gallon),3.226,$/GAL
2024-01-01,R40,PADD 4,EPM0U,Conventional Gasoline (No Oxy),PTE,Retail Sales,EMM_EPM0U_PTE_R40_DPG,Rocky Mountain All Grades Conventional Retail Gasoline Prices (Dollars per Gallon),2.955,$/GAL
2024-01-01,R1Z,PADD 1C,EPM0R,Reformulated Motor Gasoline,PTE,Retail Sales,EMM_EPM0R_PTE_R1Z_DPG,Lower Atlantic (PADD 1C) All Grades Reformulated Retail Gasoline Prices (Dollars per Gallon),3.076,$/GAL
2024-01-01,SCA,CALIFORNIA,EPM0R,Reformulated Motor Gasoline,PTE,Retail Sales,EMM_EPM0R_PTE_SCA_DPG,California All Grades Reformulated Retail Gasoline Prices (Dollars per Gallon),4.595,$/GAL
2024-01-01,YDEN,DENVER,EPM0R,Reformulated Motor Gasoline,PTE,Retail Sales,EMM_EPM0R_PTE_YDEN_DPG,"Denver, CO Allgrades Reformulated Retail Gasoline Prices (Dollars per Gallon)",2.7,$/GAL
2024-01-01,NUS,U.S.,EPM0R,Reformulated Motor Gasoline,PTE,Retail Sales,EMM_EPM0R_PTE_NUS_DPG,U.S. All Grades Reformulated Retail Gasoline Prices (Dollars per Gallon),3.522,$/GAL
2024-01-01,R1Z,PADD 1C,EPM0,Total Gasoline,PTE,Retail Sales,EMM_EPM0_PTE_R1Z_DPG,Lower Atlantic (PADD 1C) All Grades All Formulations Retail Gasoline Prices (Dollars per Gallon),3.074,$/GAL
2024-01-01,R10,PADD 1,EPM0,Total Gasoline,PTE,Retail Sales,EMM_EPM0_PTE_R10_DPG,East Coast All Grades All Formulations Retail Gasoline Prices (Dollars per Gallon),3.197,$/GAL
2024-01-01,Y44HO,HOUSTON,EPM0,Total Gasoline,PTE,Retail Sales,EMM_EPM0_PTE_Y44HO_DPG,Houston All Grades All Formulations Retail Gasoline Prices (Dollars per Gallon),2.684,$/GAL
